words,pos_likelihood,neg_likelihood
a+,0.01,0.0
abound,0.01,0.0
abounds,0.01,0.0
abundance,0.01,0.0
abundant,0.01,0.0
accessable,0.01,0.0
accessible,0.01,0.0
acclaim,0.01,0.0
acclaimed,0.01,0.0
acclamation,0.01,0.0
accolade,0.01,0.0
accolades,0.01,0.0
accommodative,0.01,0.0
accomodative,0.01,0.0
accomplish,0.01,0.0
accomplished,0.01,0.0
accomplishment,0.01,0.0
accomplishments,0.01,0.0
accurate,0.01,0.0
accurately,0.01,0.0
achievable,0.01,0.0
achievement,0.01,0.0
achievements,0.01,0.0
achievible,0.01,0.0
acumen,0.01,0.0
adaptable,0.01,0.0
adaptive,0.01,0.0
adequate,0.01,0.0
adjustable,0.01,0.0
admirable,0.01,0.0
admirably,0.01,0.0
admiration,0.01,0.0
admire,0.01,0.0
admirer,0.01,0.0
admiring,0.01,0.0
admiringly,0.01,0.0
adorable,0.01,0.0
adore,0.01,0.0
adored,0.01,0.0
adorer,0.01,0.0
adoring,0.01,0.0
adoringly,0.01,0.0
adroit,0.01,0.0
adroitly,0.01,0.0
adulate,0.01,0.0
adulation,0.01,0.0
adulatory,0.01,0.0
advanced,0.01,0.0
advantage,0.01,0.0
advantageous,0.01,0.0
advantageously,0.01,0.0
advantages,0.01,0.0
adventuresome,0.01,0.0
adventurous,0.01,0.0
advocate,0.01,0.0
advocated,0.01,0.0
advocates,0.01,0.0
affability,0.01,0.0
affable,0.01,0.0
affably,0.01,0.0
affectation,0.01,0.0
affection,0.01,0.0
affectionate,0.01,0.0
affinity,0.01,0.0
affirm,0.01,0.0
affirmation,0.01,0.0
affirmative,0.01,0.0
affluence,0.01,0.0
affluent,0.01,0.0
afford,0.01,0.0
affordable,0.01,0.0
affordably,0.01,0.0
afordable,0.01,0.0
agile,0.01,0.0
agilely,0.01,0.0
agility,0.01,0.0
agreeable,0.01,0.0
agreeableness,0.01,0.0
agreeably,0.01,0.0
all-around,0.01,0.0
alluring,0.01,0.0
alluringly,0.01,0.0
altruistic,0.01,0.0
altruistically,0.01,0.0
amaze,0.01,0.0
amazed,0.01,0.0
amazement,0.01,0.0
amazes,0.01,0.0
amazing,0.01,0.0
amazingly,0.01,0.0
ambitious,0.01,0.0
ambitiously,0.01,0.0
ameliorate,0.01,0.0
amenable,0.01,0.0
amenity,0.01,0.0
amiability,0.01,0.0
amiabily,0.01,0.0
amiable,0.01,0.0
amicability,0.01,0.0
amicable,0.01,0.0
amicably,0.01,0.0
amity,0.01,0.0
ample,0.01,0.0
amply,0.01,0.0
amuse,0.01,0.0
amusing,0.01,0.0
amusingly,0.01,0.0
angel,0.01,0.0
angelic,0.01,0.0
apotheosis,0.01,0.0
appeal,0.01,0.0
appealing,0.01,0.0
applaud,0.01,0.0
appreciable,0.01,0.0
appreciate,0.01,0.0
appreciated,0.01,0.0
appreciates,0.01,0.0
appreciative,0.01,0.0
appreciatively,0.01,0.0
appropriate,0.01,0.0
approval,0.01,0.0
approve,0.01,0.0
ardent,0.01,0.0
ardently,0.01,0.0
ardor,0.01,0.0
articulate,0.01,0.0
aspiration,0.01,0.0
aspirations,0.01,0.0
aspire,0.01,0.0
assurance,0.01,0.0
assurances,0.01,0.0
assure,0.01,0.0
assuredly,0.01,0.0
assuring,0.01,0.0
astonish,0.01,0.0
astonished,0.01,0.0
astonishing,0.01,0.0
astonishingly,0.01,0.0
astonishment,0.01,0.0
astound,0.01,0.0
astounded,0.01,0.0
astounding,0.01,0.0
astoundingly,0.01,0.0
astutely,0.01,0.0
attentive,0.01,0.0
attraction,0.01,0.0
attractive,0.01,0.0
attractively,0.01,0.0
attune,0.01,0.0
audible,0.01,0.0
audibly,0.01,0.0
auspicious,0.01,0.0
authentic,0.01,0.0
authoritative,0.01,0.0
autonomous,0.01,0.0
available,0.01,0.0
aver,0.01,0.0
avid,0.01,0.0
avidly,0.01,0.0
award,0.01,0.0
awarded,0.01,0.0
awards,0.01,0.0
awe,0.01,0.0
awed,0.01,0.0
awesome,0.01,0.0
awesomely,0.01,0.0
awesomeness,0.01,0.0
awestruck,0.01,0.0
awsome,0.01,0.0
backbone,0.01,0.0
balanced,0.01,0.0
bargain,0.01,0.0
beauteous,0.01,0.0
beautiful,0.01,0.0
beautifullly,0.01,0.0
beautifully,0.01,0.0
beautify,0.01,0.0
beauty,0.01,0.0
beckon,0.01,0.0
beckoned,0.01,0.0
beckoning,0.01,0.0
beckons,0.01,0.0
believable,0.01,0.0
believeable,0.01,0.0
beloved,0.01,0.0
benefactor,0.01,0.0
beneficent,0.01,0.0
beneficial,0.01,0.0
beneficially,0.01,0.0
beneficiary,0.01,0.0
benefit,0.01,0.0
benefits,0.01,0.0
benevolence,0.01,0.0
benevolent,0.01,0.0
benifits,0.01,0.0
best,0.01,0.0
best-known,0.01,0.0
best-performing,0.01,0.0
best-selling,0.01,0.0
better,0.01,0.0
better-known,0.01,0.0
better-than-expected,0.01,0.0
beutifully,0.01,0.0
blameless,0.01,0.0
bless,0.01,0.0
blessing,0.01,0.0
bliss,0.01,0.0
blissful,0.01,0.0
blissfully,0.01,0.0
blithe,0.01,0.0
blockbuster,0.01,0.0
bloom,0.01,0.0
blossom,0.01,0.0
bolster,0.01,0.0
bonny,0.01,0.0
bonus,0.01,0.0
bonuses,0.01,0.0
boom,0.01,0.0
booming,0.01,0.0
boost,0.01,0.0
boundless,0.01,0.0
bountiful,0.01,0.0
brainiest,0.01,0.0
brainy,0.01,0.0
brand-new,0.01,0.0
brave,0.01,0.0
bravery,0.01,0.0
bravo,0.01,0.0
breakthrough,0.01,0.0
breakthroughs,0.01,0.0
breathlessness,0.01,0.0
breathtaking,0.01,0.0
breathtakingly,0.01,0.0
breeze,0.01,0.0
bright,0.01,0.0
brighten,0.01,0.0
brighter,0.01,0.0
brightest,0.01,0.0
brilliance,0.01,0.0
brilliances,0.01,0.0
brilliant,0.01,0.0
brilliantly,0.01,0.0
brisk,0.01,0.0
brotherly,0.01,0.0
bullish,0.01,0.0
buoyant,0.01,0.0
cajole,0.01,0.0
calm,0.01,0.0
calming,0.01,0.0
calmness,0.01,0.0
capability,0.01,0.0
capable,0.01,0.0
capably,0.01,0.0
